"ID_JUGADOR","NOMBRE_JUGADOR","POSICION","NACIONALIDAD","ANO_NACIMIENTO"
984,"Aleksandar Radovanović","DF","SRB",1993
985,"Abdellah Raihani","FW","MAR",2004
986,"Predrag Rajković","GK","SRB",1995
987,"Ivan Rakitić","MF","CRO",1988
988,"Chris Ramos","FW","ESP",1997
989,"Sergio Ramos","DF","ESP",1986
990,"Pepe Reina","GK","ESP",1982
991,"Chadi Riad","DF","MAR",2003
992,"Sergi Roberto","MF,DF","ESP",1992
993,"Lucas Robertone","MF","ARG",1997
994,"Sergio Rodelas","MF,FW","ESP",2004
995,"Miguel Rodríguez","MF","ESP",2003
996,"Unai Ropero","FW","ESP",2001
997,"Sergio Ruiz","MF","ESP",1994
998,"Pablo Saenz","MF","ESP",2001
999,"Salvi","MF","ESP",1991
1000,"Diadie Samassékou","MF","MLI",1996
1001,"Fede San Emeterio","MF","ESP",1997
1002,"Ricard Sánchez","DF","ESP",2000
1003,"Paco Sanz","DF","ESP",2004
1004,"Stefan Savić","DF","MNE",1991
1005,"Sávio","MF,FW","BRA",2004
1006,"Rubén Sobrino","MF,FW","ESP",1992
1007,"Alberto Soro","FW,MF","ESP",1999
1008,"Boubakary Soumaré","MF","FRA",1999
1009,"Çağlar Söyüncü","DF","TUR",1996
1010,"Jørgen Strand Larsen","FW","NOR",2000
1011,"Damián Suárez","DF","URU",1988
1012,"Max Svensson","FW","ESP",2001
1013,"Yassin Tallal","MF","ESP",2005
1014,"Marciano Tchami","FW","GNB",2004
1015,"Kieran Tierney","DF","SCO",1997
1016,"Raúl Torrente","DF","ESP",2001
1017,"Óliver Torres","MF","ESP",1994
1018,"Bertrand Traoré","MF","BFA",1995
1019,"Manu Trigueros","MF","ESP",1991
1020,"Enes Ünal","FW","TUR",1997
1021,"Myrto Uzuni","FW,MF","ALB",1995
1022,"Borja Vázquez","FW","ESP",2005
1023,"Kevin Vázquez","DF","ESP",1993
1024,"Gabriel Veiga","MF","ESP",2002
1025,"Arthur Vermeeren","MF","BEL",2005
1026,"Jonathan Viera","MF","ESP",1989
1027,"Toni Villa","MF","ESP",1995
1028,"Ricardo Visus","DF","ESP",2001
1029,"Shon Weissman","FW","ISR",1996
1030,"Xeber","MF,FW","ESP",1997
1031,"Antal Yaakobishvili","DF","HUN",2004
1032,"Roman Yaremchuk","FW","UKR",1995
1033,"Joseba Zaldúa","DF,MF","ESP",1992
1,"Julen Agirrezabala","GK","ESP",2000
2,"Lucien Agoume","MF","FRA",2002
3,"Diego Aguado","DF","ESP",2007
4,"Marc Aguado","MF","ESP",2000
5,"Pablo Agudín","MF","ESP",2007
6,"Ibai Aguirre","MF","ESP",2007
7,"Lucas Ahijado","DF","ESP",1995
8,"Joseph Aidoo","DF","GHA",1995
9,"Ilias Akhomach","MF,FW","MAR",2004
10,"David Alaba","DF","AUT",1992
11,"Alexandre Alemão","FW","BRA",1998
12,"Carles Aleñá","MF","ESP",1998
13,"Trent Alexander-Arnold","DF","ENG",1998
14,"Alfon","MF","ESP",1999
15,"Thiago Almada","MF,FW","ARG",2001
16,"Domingos André Ribeiro Almeida","MF","POR",2000
17,"Marcos Alonso","DF","ESP",1990
18,"Adrià Altimira","DF,MF","ESP",2001
19,"Sergi Altimira","MF","ESP",2001
20,"Carlos Álvarez","MF","ESP",2003
21,"Hugo Álvarez","FW,MF","ESP",2003
22,"Julián Álvarez","FW","ARG",2000
23,"Yeray Álvarez","DF","ESP",1995
24,"Sofyan Amrabat","MF","MAR",1996
25,"Manuel Ángel","MF","ESP",2004
26,"Miguel Ángel Rubio","DF","ESP",1998
27,"Miguel Ángel Sierra","FW","ESP",2004
28,"Andrés Antañón","FW","ESP",2007
29,"Antoniu","MF","ESP",2002
30,"Antony","MF,FW","BRA",2000
31,"Mauro Arambarri","MF","URU",1995
32,"Jon Aramburu","DF","VEN",2002
33,"Juan Arango","MF","VEN",2006
34,"Ronald Araújo","DF","URU",1999
35,"Jesús Areso","DF","ESP",1999
36,"Iñigo Arguibide","DF","ESP",2005
37,"Kervin Arriaga","MF","HON",1998
38,"Takuma Asano","MF,FW","JPN",1994
39,"Raúl Asencio","DF","ESP",2003
40,"Iago Aspas","FW,MF","ESP",1987
41,"Yaser Asprilla","FW,MF","COL",2003
42,"Lander Astiazaran","MF","ESP",2006
43,"Ezequiel Ávila","FW","ARG",1994
44,"César Azpilicueta","DF","ESP",1989
45,"Alex Baena","MF,FW","ESP",2001
46,"Eric Bailly","DF","CIV",1994
47,"Cédric Bakambu","FW","COD",1991
48,"Alejandro Balde","DF","ESP",2003
49,"Carlos Ballestero","DF","ESP",2004
50,"Iván Balliu","DF","ALB",1992
51,"Roony Bardghji","MF,FW","SWE",2005
52,"Kike Barja","MF","ESP",1997
53,"Ander Barrenetxea","MF,FW","ESP",2001
54,"Pablo Barrios","MF","ESP",2003
55,"Marc Bartra","DF","ESP",1991
56,"Augusto Batalla","GK","ARG",1996
57,"Samu Becerra","MF","ESP",2006
58,"Sheraldo Becker","FW,MF","SUR",1995
59,"Donny van de Beek","MF","NED",1997
60,"Luken Beitia","DF","ESP",2004
61,"Ismael Bekhoucha","DF","MAR",2004
62,"Rayane Belaid","MF,FW","ESP",2005
63,"Héctor Bellerín","DF","ESP",1995
